id,text,user_id,createdtime
1037656074935984129,北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に… https://t.co/2mEk1Vu1AG,AbeShinzo,2018/09/06 19:57:41
1037656095412576256,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,dragons_victory,2018/09/06 19:57:46
1037656153176518656,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,MOPIRA,2018/09/06 19:58:00
1037656159207940098,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,hayataka11,2018/09/06 19:58:01
1037656211066241024,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,choki41,2018/09/06 19:58:14
1037656214199390209,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,the_sintou,2018/09/06 19:58:14
1037656236269789184,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,oochan2010,2018/09/06 19:58:20
1037656277290082305,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,umbro47,2018/09/06 19:58:29
1037656311054327809,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,everhiro,2018/09/06 19:58:37
1037656342532509696,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,clarinet3710,2018/09/06 19:58:45
1037656363474726912,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,duckhide,2018/09/06 19:58:50
1037656416192946177,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,ReimyKohime,2018/09/06 19:59:03
1037656426917679104,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,nagiko78,2018/09/06 19:59:05
1037656454839193602,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,mayaring,2018/09/06 19:59:12
1037656492223025152,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,pakirasu,2018/09/06 19:59:21
1037656545926963200,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,kumyazou,2018/09/06 19:59:33
1037656557738110977,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,inamu1991,2018/09/06 19:59:36
1037656569435971585,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,mamona9oben10,2018/09/06 19:59:39
1037656652458078209,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,yukinohitohira_,2018/09/06 19:59:59
1037656772163428357,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,halu39,2018/09/06 20:00:27
1037656840513839105,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,nyancow,2018/09/06 20:00:44
1037656874269560832,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,kazuya7733,2018/09/06 20:00:52
1037656971011190784,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,risahatoFF14,2018/09/06 20:01:15
1037657046999420928,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,hasekou,2018/09/06 20:01:33
1037657075151597568,RT @AbeShinzo: 北海道胆振東部地震によりお亡くなりになられた方々にお悔やみを申し上げるとともに被災されたすべての方々に心よりお見舞いを申し上げます。自衛隊、警察、消防、海上保安庁が現時点で２万１千人、ヘリ５１機、艦船１２隻の態勢で救命・救助活動に取り組んでおり現在…,spinstealth,2018/09/06 20:01:40
